year,mdj,fifdj,qdj,amatc,pice,msstc
1961,15,11,12,-7.8,,0.9
1962,22,14,19,-7.6,,0.2
1963,19,12,13,-7.9,,1.5
1964,25,22,23,-10.3,,-2.9
1965,19,16,16,-6.4,,0.6
1966,22,16,18,-9.3,,-3.4
1967,13,7,7,-5.0,,2.4
1968,21,12,14,-9.8,,-0.4
1969,13,9,11,-5.7,,2.2
1970,20,16,18,-9.4,0.672,-0.5
1971,29,23,25,-10.6,0.784,-1.6
1972,24,19,21,-11.2,0.750,-0.2
1973,19,12,14,-7.7,0.747,-2.2
1974,15,8,10,-6.2,0.560,2.3
1975,25,19,21,-10.4,0.757,-1.1
1976,28,23,23,-12.4,0.727,-1.9
1977,25,21,23,-12.6,0.691,-1.8
1978,20,15,15,-4.0,0.612,2.4
1979,16,11,11,-3.6,0.231,2.2
1980,18,9,14,-4.6,0.437,2.5
1981,14,5,8,-4.3,0.307,2.8
1982,22,13,17,-10.9,0.666,-1.7
1983,11,5,6,-3.9,0.459,0.4
1984,23,15,18,-10.9,0.706,-2.4
1985,30,23,26,-17.1,0.746,-1.2
1986,21,17,18,-11.1,0.620,-0.3
1987,24,14,18,-7.5,0.633,-0.4
1988,20,9,12,-5.1,0.542,0.7
1989,19,13,15,-4.1,0.388,-0.4
1990,19,14,14,-3.3,0.369,0.2
1991,19,10,13,-3.9,0.483,0.8
1992,28,19,22,-5.7,0.697,-3.0
1993,18,9,12,-2.4,0.513,0.9
1994,19,13,16,-7.0,0.632,0.6
1995,17,9,11,-3.5,0.498,0.4
1996,10,6,8,-5.9,0.337,0.8
1997,19,11,14,-2.9,0.496,0.4
1998,27,16,21,-3.3,0.326,-0.4
1999,25,21,22,-8.3,0.670,-2.4
2000,25,17,18,-5.9,0.555,-1.5
2001,25,15,21,-5.6,0.696,-3.8
2002,20,12,13,-6.7,0.253,0.0
2003,15,5,10,-3.3,0.390,0.8
2004,17,10,12,-1.7,0.372,1.1
2005,23,13,17,-9.2,0.569,-0.7
2006,24,17,20,-10.9,0.638,-0.9
2007,22,15,17,-2.8,0.600,-0.8
2008,26,16,19,-9.4,0.683,-1.7
2009,22,14,16,-8.6,0.676,-1.0
2010,25,17,19,-6.7,0.759,-1.9
2011,21,15,16,-7.9,0.520,-1.5
2012,32,22,26,-6.3,0.753,-3.5
2013,28,21,23,-9.2,0.700,-3.7
2014,21,12,14,-2.0,0.365,-0.6
2015,26,17,20,-5.9,0.557,-1.7
2016,19,9,13,1.3,0.416,-0.6
2017,,,,-0.7,0.453,-0.3
